who,ID,day.night,date,site,transect,species,meter,stage,clutches,eggs,height,locn,position on leaf,dist to margin,leaf area,photos,other EM in 5m,dist to nearest othr EM,plant family,plant species,leaf surf. type,water depth,water velocity,strm subst,parent,parent position,health at first obs,leaf damage,notes
BG,POT4HYAVAL3,N,42917,POT4,RT1,HYAVAL,31,2,2,33,130,over water,under,17.5,451.181,"1630-1633, 1512-1513",1,0,Marantaceae,Geoppertia inocephala,glabrous,18,slow,rock,yes,touching,healthy,no,"hyaval 1, 3, 4, same male, heavy rainfall"
BG,POT4HYAVAL4,N,42917,POT4,RT1,HYAVAL,31,2,2,37,130,over water,under,13.1,451.181,"1630-1633,1512-1513",1,0,Marantaceae,Geoppertia inocephala,glabrous,18,slow,rock,yes,not touching,healthy,no,"hyaval 1, 3, 4, same male, heavy rainfall"
BG,POT4TERSPI2,N,42917,POT4,RT1,TERSPI,50,3,1,21,100,over water,under,na,NA,1634,1,0,Hernandiaceae,Hernandia didymantha,glabrous,11,slow,sand,no,NA,healthy,yes,heavy rainfall
BG,POT4TERSPI3,N,42917,POT4,RT2,TERSPI,41,1,1,17,22,over land,under,0,NA,1635-1637,0,NA,Araceae,NA,glabrous,NA,NA,NA,no,NA,healthy,no,"heavy rainfall, caterpillar found on same leaf. Very droopy"
BG,P16ESPPRO9,N,42918,P16,RT1,ESPPRO,16,4,1,2,140,over land,moss,na,NA,NA,0,34,Moss,NA,other,NA,NA,NA,no,NA,healthy,no,male nearby
BG,P16TERSPI5,N,42918,P16,RT1,TERSPI,50,4,1,17,169,over water,under,na,1026.65,30-31 REU,0,34,NA,NA,NA,12,slow,mud,no,NA,"16 healthy, 1 undeveloped",no,NA
BG,P16ESPPRO10,N,42918,P16,RT2,ESPPRO,13,2,1,unk,300,over land,top,0,188.493,1514-1515,1,0,Rhamnaceae,Colubrina spinosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
BG,P16ESPPRO11,N,42918,P16,RT2,ESPPRO,13,"1,2",1,unk,300,over land,under,0,58.965,1514-1515,1,0,Rhamnaceae,Colubrina spinosa,glabrous,NA,NA,NA,no,NA,NA,NA,NA
BG,P5TERSPI4,N,42919,P5,RT2,TERSPI,8,4,1,14,105,over water,under,na,101.159,1550,0,18,Costaceae,NA,glabrous,24,slow,boulder,no,NA,healthy,yes,Adult near
BG,P5HYAVAL19,N,42919,P5,RT2,HYAVAL,26,2,2,47,155,over water,under,23.3,472.991,1551,2,0,Cyclanthaceae,NA,glabrous,12,fast,boulder,yes,not touching,healthy,no,"same leaf HYAVAL3 (3,19,34,35)"
BG,P5ESPPRO6,N,42919,P5,RT2,ESPPRO,26,2,1,unk,225,over water,moss,na,NA,NA,2,0.5 (estimated),Moss,NA,other,10,medium,boulder,no,NA,healthy,NA,Big spider nearby
BG,P5TERSPI5,N,42919,P5,RT2,TERSPI,30,4,1,4,145,over water,under,na,184.848,1554-1555,0,4,Arecaceae,NA,glabrous,7,slow,rock,no,NA,1 undeveloped,no,1 stage 2 undev
BG,P5HYAVAL20,N,42919,P5,RT2,HYAVAL,46,unk,1,unk,520,over land,under,NA,NA,1557-1578,0,3,Araceae,NA,glabrous,NA,NA,NA,yes,not touching,NA,no,too high
BG,P5TERSPI6,N,42919,P5,RT2,TERSPI,49,1,1,14,225,over water,under,0,150.897,1563-1564,1,.2 (estimated),Cyclanthaceae,NA,glabrous,21,slow,boulder,no,NA,healthy,no,NA
BG,P5TERSPI7,N,42919,P5,RT2,TERSPI,49,"2,3",1,21,240,over water,under,0,161.271,1565-1567,1,.2 (estimated),Cyclanthaceae,NA,glabrous,28,slow,boulder,no,NA,healthy,no,NA
BG,P5ESPPRO7,N,42919,P5,RT1,ESPPRO,13,2,1,26-27,140,over water,top,0,219.986,1568-1573,3,0.5,Melastomataceae,NA,hairy,1,slow,mud,no,NA,healthy,no,NA
BG,P5ESPPRO8,N,42919,P5,RT1,ESPPRO,12.5,1,1,unk,380,over water,top,0,NA,na,3,0.1,Rubiaceae,Palicourea calidicola,glabrous,4,slow,boulder,no,NA,NA,no,NA
BG,P5ESPPRO9,N,42919,P5,RT1,ESPPRO,12.5,1,1,unk,390,over water,top,0,NA,na,3,0.1,Rubiaceae,Palicourea calidicola,glabrous,4,slow,boulder,no,NA,NA,no,NA
BG,P5ESPPRO10,N,42919,P5,RT1,ESPPRO,12,unk,1,unk,324,over water,top,0,127.7,1577,3,0.5,Rubiaceae,Palicourea calidicola,glabrous,13,slow,boulder,no,NA,NA,yes,NA
BG,P5TERSPI8,N,42919,P5,RT1,TERSPI,19,3,1,25,420,over water,under,na,NA,1579,2,1.5,Araceae,NA,glabrous,2,slow,boulder,no,NA,healthy,no,NA
BG,P5HYAVAL21,N,42919,P5,RT1,HYAVAL,20.5,1,2,40,130,over water,under,7.5,359.627,1580-1583,2,0,Araceae,Spathaphylum sp.,glabrous,14,slow,boulder,yes,touching other mass,healthy,no,NA
BG,P5HYAVAL22,N,42919,P5,RT1,HYAVAL,20.5,1,2,46,130,over water,under,12.2,359.627,1590-1583,2,0,Araceae,Spathaphylum sp.,glabrous,14,slow,boulder,yes,touching,healthy,no,NA
BG,P5ESPPRO11,N,42919,P5,RT1,ESPPRO,35,1,1,35,220,over water,top,1.2,113.826,1584,NA,13,NA,NA,NA,NA,NA,NA,no,NA,healthy,no,wasp on eggs
BG,P5HYAVAL23,N,42919,P5,RT1,HYAVAL,48,1,1,42,140,over water,under,21.6,993.996,1585-1590,0,13,Arecaceae,NA,glabrous,5,slow,mud,yes,touching,healthy,no,male calling
BG,P5HYAVAL24,N,42919,P5,RT4,HYAVAL,15,1,2,44,100,over land,under,16.100000000000001,246.5,1591-1592,1,0,Araceae,Spathaphylum sp.,glabrous,NA,NA,NA,yes,not touching,healthy,no,eggs touching
BG,P5HYAVAL25,N,42919,P5,RT4,HYAVAL,15,2,2,36,100,over land,under,16.100000000000001,246.5,1591-1592,1,0,Araceae,Spathaphylum sp.,glabrous,NA,NA,NA,yes,not touching,healthy,no,eggs touching
BG,P5HYAVAL26,N,42919,P5,RT4,HYAVAL,18,1,3,41,150,over land,under,na,381.293,1596,2,0,Araceae,NA,glabrous,NA,NA,NA,yes,touching,healthy,no,Same male as Hyaval 9+18
BG,P5HYAVAL27,N,42919,P5,RT4,HYAVAL,29,2,1,38,150,over land,under,15.1,154.616,1602-1603,2,2,Moraceae,Soroceae pubivena,hairy,NA,NA,NA,yes,not touching,healthy,no,NA
BG,P5TERSPI9,N,42919,P5,RT4,TERSPI,31,2,1,15,230,over water,under,0,78.477,1604,2,0.5,Araceae,NA,glabrous,15,medium,boulder,no,NA,healthy,yes,NA
BG,P5HYAVAL28,N,42919,P5,RT4,HYAVAL,31.5,2,1,52,90,over water,under,11.7,345.063,1606-1607,2,0.5,Cyclanthaceae,NA,glabrous,1.3,slow,mud,yes,not touching,healthy,no,Same as Hyaval 9
MET,P1ESPPRO5,D,42919,P1,RT2,ESPPRO,26,1,1,26,225,over water,moss,na,NA,NA,3,0,Moss,NA,other,10,medium,boulder,no,NA,healthy,no,on top of P1ESPPRO6
MET - put in cluctch number,P1HYAVAL32,D,42919,P1,RT2,HYAVAL,50,1,2,40,130,over water,under,na,1133.054,1536,4,NA,Marantaceae,NA,glabrous,16,fast,mud,yes,touching,healthy,no,"hyaval 21, 22, 32 same male"
MET,P15TERSPI1,N,42923,P15,RT3,TERSPI,25,4,1,1,78,over bank,under,na,84.92,1649,0,NA,Gesneriaceae,Besleria robusta,hairy,7,medium,rock,maybe,potential male parent calling 50am away,healthy,no,NA
MET,P15TERSPI2,N,42923,P15,RT2,TERSPI,0,1,1,19,185,over bank,under,24,272.337,1650-1654,3,2,Rhamnaceae,Colubrina spinosa,glabrous,7,medium,mud,no,NA,1 fungus/parasite,no,NA
MET,P15TERSPI3,N,42923,P15,RT2,TERSPI,0,1,1,17,190,over bank,under,0,143.299,1655-1656,3,2,Costaceae,NA,glabrous,4,slow,mud,no,NA,1 fungus/parasite,no,NA
MET,P15HYAVAL7,N,42923,P15,RT2,HYAVAL,4,4,2,34,500,over water,under,na,NA,1657,3,NA,Rubiaceae,Warszewiczia coccinea,hairy,27,fast,rock,yes,not touching,healthy,no,"hyaval 7, 8, same male"
MET,P15HYAVAL8,N,42923,P15,RT2,HYAVAL,4,4,2,24,500,over water,under,na,NA,1657,3,NA,Rubiaceae,Warszewiczia coccinea,hairy,27,fast,rock,yes,not touching,healthy,no,"hyaval 7, 8, same male"
BG,P1ESPPRO8,D,42923,P1,RT1,ESPPRO,12,2,1,19+-2,200,over water,moss,na,NA,NA,1,0.1 (estimate),Moss,NA,other,NA,NA,sand,no,NA,healthy,NA,next to ESPPRO1
BG,P1HYAVAL31,D,42923,P1,RT2,HYAVAL,48.5,1,2,36,120,over water,under,unk,351.788,REU38,4,0,Cyclanthaceae,NA,glabrous,25,fast,mud,yes,touching,healthy,no,same HYAVAL20
MET,P5HYAVAL29,N,42924,P5,RT2,HYAVAL,0.5,"3, 4",3,42,55,over bank,under,na,139.126,1659-1660,2,0,Pteridophyta,NA,glabrous,6,slow,boulder,yes,not touching,healthy,no,"hyaval 29, 30, 31 same male"
MET,P5HYAVAL30,N,42924,P5,RT2,HYAVAL,0.5,"3, 4",3,39,55,over bank,under,na,139.126,1659-1660,2,0,Pteridophyta,NA,glabrous,6,slow,boulder,yes,not touching,1 fungus/parasite,no,"hyaval 29, 30, 31 same male"
MET,P5HYAVAL31,N,42924,P5,RT2,HYAVAL,0.5,4,3,14,55,over bank,under,na,139.126,1659-1660,2,0,Pteridophyta,NA,glabrous,6,slow,boulder,yes,not touching,2 fungus/parasite,no,"hyaval 29, 30, 31 same male"
MET,P5HYAVAL32,N,42924,P5,RT1,HYAVAL,48,1,2,46,140,over water,under,21.6,993.996,1668,1,NA,Arecaceae,NA,glabrous,5,slow,mud,yes,not touching,healthy,no,same male as hyaval23
MET,P5HYAVAL36,N,42924,P5,RT4,HYAVAL,29,1,3,47,150,over land,under,17.5,154.616,1672,5,0,Moraceae,Soroceae pubivena,hairy,NA,NA,NA,yes,not touching,healthy,no,"same male hyaval 33, 34, 27"
MET,P5HYAVAL40,N,42924,P5,RT4,HYAVAL,29,2,3,36,150,over land,under,17.5,154.616,1672,5,0,Moraceae,Soroceae pubivena,hairy,NA,NA,NA,yes,not touching,healthy,no,"same male hyaval 33, 34, 27"
MET,POT4TERSPI10,N,42926,POT4,RT3,TERSPI,19,2,1,21,52,over water,under,8,501.861,1726,0,NA,Araceae,Philodendron grandipes,glabrous,1,fast,boulder,no,NA,healthy,no,NA
MET,POT4TERSPI11,N,42926,POT4,RT1,TERSPI,14,3,1,18,212,over water,under,na,296.791,1728-1730,0,5,Piperaceae,Piper pseudobumbratum,glabrous,1,medium,rock,no,NA,healthy,no,NA
MET,POT4TERSPI12,N,42926,POT4,RT1,TERSPI,28,4,1,1,64,over water,under,na,128.503,1731-1732,2,2,Piperaceae,Piper pseudobumbratum,glabrous,7,fast,rock,no,NA,healthy,no,"terpi 12, 13 same plant"
MET,POT4TERSPI13,N,42926,POT4,RT1,TERSPI,28,4,1,1,145,over water,under,na,153.32,1734-1735,2,2,Piperaceae,Piper pseudobumbratum,glabrous,7,fast,rock,no,NA,healthy,no,"terpi 12, 13 same plant"
XOR,TIRESPPRO10,N,42926,TIR,RT2,ESPPRO,24,"3, 4",1,22,195,over water,top,na,29.106,1792,0,NA,Meliaceae,Guarea bullata,hairy,1,slow,mud,no,NA,healthy,yes,on dead leaf and moss
XOR,TIRTERSPI10,N,42926,TIR,RT2,TERSPI,31,"1, 2",1,22,210,over water,under,0,443.487,1794,1,2,Piperaceae,Piper pentagonum,hairy,2,slow,mud,no,NA,healthy,no,NA
XOR,TIRTERSPI11,N,42926,TIR,RT2,TERSPI,33,"3, 4",1,23,200,over water,under,na,155.635,1796,1,2,Gesneriaceae,Besleria robusta,hairy,10,slow,sand,no,NA,1 fungal,no,same plant as TIRTERSPI3
XOR,TIRTERSPI12,N,42926,TIR,RT2,TERSPI,40.5,1,2,1,130,over water,under,3,192.709,1798-1799,1,8.6E-3,Piperaceae,Piper pentagonum,hairy,2,slow,mud,no,NA,undeveloped,no,"TERSPI12, 13 on same leaf"
XOR,TIRTERSPI13,N,42926,TIR,RT2,TERSPI,40.5,1,2,22,130,over water,under,3,192.709,1798-1799,1,8.6E-3,Piperaceae,Piper pentagonum,hairy,2,slow,mud,no,NA,healthy,no,"TERSPI12, 13 on same leaf"
XOR,TIRTERSPI14,N,42926,TIR,RT3,TERSPI,9,1,1,23,65,over land,under,0,23.643,1802,0,NA,Pteridophyta,NA,glabrous,NA,NA,NA,no,NA,healthy,no,NA
XOR,TIRESPPRO11,N,42926,TIR,RT3,ESPPRO,17,2,1,26,350,over water,top,0,356.769,"1803, 1806",0,NA,Araceae,NA,glabrous,2,slow,sand,no,adult nearby,NA,yes,Adult near
XOR,TIRTERSPI15,N,42926,TIR,RT3,TERSPI,28,1,1,25,100,over land,top,8.4,201.402,1807-1808,1,3,Pteridophyta,NA,glabrous,NA,NA,NA,NA,calling male nearby,healthy,no,male calling nearby
XOR,TIRESPPRO12,N,42926,TIR,RT3,ESPPRO,31,4,1,23,65,over land,moss,na,NA,1802,3,1.5,Violaceae,Rinorea deflexiflora,hairy,NA,NA,NA,no,NA,NA,NA,"ESPPRO12, 13, 15, 16, same plant, male calling nearby"
XOR,TIRESPPRO13,N,42926,TIR,RT3,ESPPRO,32.5,1,1,23+-1,205,over water,moss,na,NA,1809-10,3,0.03,Violaceae,Rinorea deflexiflora,hairy,10,slow,mud,no,adult calling nearby,healthy?,NA,"ESPPRO12, 13, 15, 16, same plant, male calling nearby"
XOR,TIRESPPRO14,N,42926,TIR,RT3,ESPPRO,32.5,unk,1,unk,210,over water,moss,na,NA,NA,3,0.03,Violaceae,Rinorea deflexiflora,hairy,13,slow,mud,no,adult calling nearby,3 fungal,NA,"ESPPRO12, 13, 15, 16, same plant, male calling nearby"
XOR,TIRESPPRO15,N,42926,TIR,RT3,ESPPRO,32.5,3,1,unk,210,over water,bottom of dead leaf,na,NA,NA,3,0.03,Violaceae,Rinorea deflexiflora,hairy,15,slow,mud,NA,adult calling nearby,at least 2 fuzzies,NA,"ESPPRO12, 13, 15, 16, same plant, male calling nearby"
XOR,TIRESPPRO16,N,42926,TIR,RT3,ESPPRO,44.5,4,1,2,120,over water,top,na,172.137,NA,0,NA,Arecaceae,NA,glabrous,NA,NA,NA,no,NA,healthy,no,unsure about leaf area. chose the one part with a little bit of moss
XOR,TIRTERSPI16,N,42926,TIR,RT3,TERSPI,50,1,1,24,130,over land,under,13,250.537,1816,NA,NA,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,no,NA,healthy,no,NA
XOR,TIRTERSPI17,N,42926,TIR,RT1,TERSPI,19,1,1,25,235,over water,under,0,30.56,1817-1822,0,NA,NA,NA,glabrous,1,fast,sand,no,NA,NA,no,NA
XOR,TIRESPPRO17,N,42926,TIR,RT1,ESPPRO,24.5,4,1,unk,190,over water,top,na,49.474,1828,2,2.5,Moraceae,Brosimum lactescens,glabrous,8,medium,sand,no,NA,healthy,no,moss on leaf
XOR,TIRTERSPI18,N,42926,TIR,RT1,TERSPI,26,4,1,12,175,over water,under,na,221.6,1829,2,3.5000000000000003E-2,Rubiaceae,Palicourea hondensis,glabrous,1,medium,mud,no,NA,healthy,yes,"TERSPI 18, 19 same plant"
XOR,TIRTERSPI19,N,42926,TIR,RT1,TERSPI,26,4,1,17,165,over bank,under,na,204.081,1830,2,3.5000000000000003E-2,Rubiaceae,Palicourea hondensis,glabrous,NA,NA,NA,no,NA,1 undeveloped at stage 2,yes,"TERSPI 18, 19 same plant"
XOR,TIRTERSPI20,N,42926,TIR,RT1,TERSPI,36,3,1,21,110,over water,under,na,599.62,1836,2,1,Araceae,Philodendron sp.,glabrous,29,slow,mud,pair nearby,NA,healthy,yes,NA
XOR,TIRTERSPI21,N,42926,TIR,RT1,TERSPI,37,1,1,22,90,over water,under,0,84.342,"1843, 1845",2,1,Pteridophyta,NA,glabrous,7,slow,sand,pair nearby,NA,parasitized,no,NA
XOR,TIRTERSPI22,N,42926,TIR,RT1,TERSPI,38.5,4,1,5,190,over land,under,na,885.416,1847,3,1.5,Marantaceae,NA,glabrous,NA,NA,NA,no,NA,1 undeveloped at stage 1,no,NA
XOR,TIRTERSPI23,N,42926,TIR,RT1,TERSPI,41,2,1,25+-2,250,over land,under,0,234.114,"1853, 1851",1,2.5,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,adult calling nearby,NA,healthy,no,adults calling nearby
BG,P5HYAVAL34,D,42927,P5,RT2,HYAVAL,26,1,3,41,155,over water,under,55,472.991,1896-1897,4,0,Cyclanthaceae,NA,glabrous,12,fast,boulder,yes,touching,healthy,no,"Same male as HYAVAL 3,19,34,35"
BG,P5HYAVAL35,D,42927,P5,RT2,HYAVAL,26,1,3,43,155,over water,under,35,472.991,1896-1897,4,0,Cyclanthaceae,NA,glabrous,12,fast,boulder,yes,not touching,healthy,no,"Same male as HYAVAL 3,19,34,36"
BG,P5TERSPI15,D,42927,P5,RT2,TERSPI,50,1,1,21,160,over water,under,3,104.75,1931-1932,2,NA,NA,NA,glabrous,25,slow,rock,no,NA,healthy,no,"close to TERSPI 6,7"
BG,P5HYAVAL37,D,42927,P5,RT4,HYAVAL,31.5,1,3,41,95,over water,under,10,345.063,1943,5,0,Cyclanthaceae,NA,glabrous,1.3,slow,mud,yes,touching,healthy,no,Right below HYAVAL27 touching other EM
BG,P5HYAVAL38,D,42927,P5,RT4,HYAVAL,31.5,1,3,40,95,over water,under,15,345.063,1943,5,0,Cyclanthaceae,NA,glabrous,1.3,slow,mud,yes,not touching,healthy,no,Right below HYAVAL27 touching other EM
BG,P1TERSPI16,D,42928,P1,RT2,TERSPI,0,3,1,26,95,over land,under,na,16.251,2066,0,17,NA,NA,glabrous,NA,NA,NA,NA,NA,healthy,yes,NA
BG,P1ESPPRO10,D,42928,P1,RT1,ESPPRO,12,2,1,21+-1,185,over water,moss,0,NA,NA,1,0,NA,NA,NA,8,slow,mud,NA,NA,healthy,NA,on top of ESPPRO8
BG,P1ESPPRO9,D,42928,P1,RT2,ESPPRO,26,4,1,17+-2,160,over water,moss,na,NA,44-46 REU,2,0,Moss,NA,other,15,slow,mud,no,NA,healthy,"Left of ESPPRO 5,6",NA
BG,TIRTERSPI33,D,42929,TIR,RT1,TERSPI,26,1,1,27,165,over bank,under,na,NA,NA,NA,NA,Rubiaceae,Palicourea hondensis,glabrous,NA,NA,NA,NA,NA,healthy,yes,"Same as TERSPI 18,19"
BG,P1TERSPI20,D,42932,P1,RT3,TERSPI,30,2,1,13,150,over water,under,0,108.647,2065,0,0,Burseraceae,Protium panamensis,glabrous,7,medium,mud,NA,NA,1 parasite,NA,"same as terspi15, above terspi5"
BG,P15TERSPI4,N,42933,P15,RT1,TERSPI,17,1,1,21,115,over land,under,1.5,NA,1996,0,25.5,Araceae,(latex),glabrous,NA,NA,NA,no,NA,2 undeveloped st1,no,NA
BG,P15TERSPI5,N,42933,P15,RT1,TERSPI,42.5,4,1,2,170,over water,under,na,NA,1997,0,25.5,Araceae,NA,glabrous,33,medium,sand,no,NA,healthy,NA,NA
BG,P15TERSPI6,N,42933,P15,RT2,TERSPI,40,"3,4",1,17,185,over water,under,na,NA,2001,0,7,NA,NA,NA,59,fast,boulder,no,NA,healthy,no,NA
BG,P15HYAVAL9,N,42933,P15,RT2,HYAVAL,47,1,1,14,400,over water,under,na,NA,2002-2003,0,7,Rhamnaceae,Colubrina spinosa,glabrous,36,fast,boulder,no,NA,healthy,no,"Same area as HYAVAL1,2,3,4,5"
BG,P13TERSPI21,N,42933,P13,RT2,TERSPI,40,"3,4",1,24,170,over water,under,0,27.896,NA,0,NA,Araceae,NA,glabrous,30,fast,rock,no,NA,healthy,no,Same as TERSPI2
MET,P13HYAVAL20,N,42933,P13,RT3,HYAVAL,20,2,1,43,160,over water,under,20.5,396.297,2414,0,na,Cyclanthaceae,NA,glabrous,9,medium,sand,yes,not touching,1 undeveloped,no,NA
XOR,P1HYAVAL41,N,42934,P1,RT3,HYAVAL,24,2,1,42,370,over water,under,47.26,1060.306,2069-2070,0,5.5,Araceae,NA,glabrous,17,slow,mud,yes,not touching,NA,no,same plant as TERSPI15? CHECK
XOR,P1HYAVAL42,N,42934,P1,RT3,HYAVAL,29.5,2,2,24,300,over water,under,24.82,439.288,2071-2073,2,0,Urticaceae,Myriocarpa longipes,hairy,7,medium,sand,no,"pair in amplexus on same plant, different leaf",2 fungal/parasite,no,leaf is bent/folded. Same plant as HYAVAL24
BG,TIRTERSPI25,N,42935,TIR,RT2,TERSPI,35,1,1,23,225,over water,under,16,861.494,2242,1,2,Gesneriaceae,Besularia,hairy,14,slow,sand,no,NA,healthy,yes,male calling near
BG,TIRTERSPI26,N,42935,TIR,RT2,TERSPI,40,1,1,18,80,over water,under,1.9,167.878,2243,2,0.5,Gesneriaceae,Besularia,hairy,13,medium,sand,no,NA,1 undeveloped,no,NA
BG,TIRTERSPI27,N,42935,TIR,RT3,TERSPI,5.5,1,1,23,90,over land,under,6,109.816,2244,0,4.5,Gesneriaceae,Besularia,hairy,NA,NA,NA,no,NA,healthy,no,NA
BG,TIRESPPRO21,N,42935,TIR,RT3,ESPPRO,17,1,1,3,150,over land,top,0,221.316,2249,0,11.5,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,NA,NA,4 fungis/parasite,no,eggs sprad out and messed up
BG,TIRESPPRO20,N,42935,TIR,RT3,ESPPRO,32.5,1,1,NA,210,over water,moss,na,NA,NA,2,1.5,Moss,NA,other,8,slow,mud,no,NA,healthy,NA,amplexus near
BG,TIRESPPRO22,N,42935,TIR,RT3,ESPPRO,39,"3,4",1,32+-2,200,over water,top,0,174.312,2257,0,6.5,Arecaceae,Palm (same as ESPPRO6),glabrous,19,slow,mud,no,NA,1 fungus/parasite,no,spider near
BG,TIRESPPRO23,N,42935,TIR,RT1,ESPPRO,18,4,1,5,165,over water,moss,na,NA,NA,0,4.5,Moss,NA,other,8,medium,sand,no,NA,healthy,no,NA
BG,TIRESPPRO24,N,42935,TIR,RT1,ESPPRO,22.5,uk,1,uk,390,over water,moss,na,NA,NA,0,4.5,Moss,NA,other,12,slow,mud,no,NA,NA,NA,NA
BG,TIRTERSPI28,N,42935,TIR,RT1,TERSPI,38,1,1,12,220,over water,under,0.4,87.678,2270,3,0,Araceae,NA,glabrous,8,slow,mud,no,NA,healthy,no,"Grasshopper predation, Above TERSPI29"
BG,TIRTERSPI29,N,42935,TIR,RT1,TERSPI,38,4,1,21,135,over water,under,na,36.347,2272,3,0,Araceae,NA,glabrous,4,slow,mud,no,NA,healthy,yes,Below TERSPI28
BG,TIRTERSPI30,N,42935,TIR,RT1,TERSPI,50,3,1,20,190,over land,under,na,22.474,2274,0,1,Pteridophyta,NA,glabrous,NA,NA,NA,no,NA,1 undeveloped,no,NA
BG,TIRTERSPI31,D,42935,TIR,RT1,TERSPI,26,2,1,26,uk,na,under,na,NA,na,1,1.5,Rubiaceae,Palicourea hondensis,glabrous,NA,NA,NA,no,NA,1 undeveloped st2,no,"Same area as TERSPI18,19"
BG,TIRTERSPI32,D,42935,TIR,RT2,TERSPI,31,4,1,3,uk,na,under,na,NA,na,0,4,Piperaceae,Piper pentagonum,hairy,NA,NA,NA,no,NA,healthy,no,"Same area as TERSPI10, possibly still is TERSPI10 but that one was supposedly fungal/gone 13-jul"
XOR,P13TERSPI30,N,42937,P13,RT2,TERSPI,9,2,1,25,30,over land,under,2.6,NA,2458,0,NA,Heliconiaceae,NA,glabrous,2,slow,mud,no,NA,healthy,no,NA
BG,P13HYAVAL30,D,42937,P13,RT3,HYAVAL,20,2,1,38+-2,160,over water,under,20.5,396.297,2414,1,0,Cyclanthaceae,NA,glabrous,9,medium,sand,yes,not touching,healthy,no,Same leaf as HYAVAL20
